product_id,product_category,base_price,competitor_price,demand_level,inventory_level,customer_traffic,time_of_day,day_of_week,season,is_peak,discount_pct,units_sold,revenue,optimal_price
PROD-00056,Electronics,874.74,873.56,35.0,59.0,1292.0,Evening,Saturday,Spring,1,25.87,23,33953.52,1476.24
PROD-00057,Sports,366.37,379.27,74.0,284.0,3342.0,Afternoon,Sunday,Winter,1,7.55,56,38511.2,687.7
PROD-00058,Electronics,402.52,360.46,61.0,461.0,3079.0,Night,Monday,Winter,1,8.97,55,31699.8,576.36
PROD-00059,Books,34.81,31.84,54.0,103.0,4919.0,Night,Friday,Spring,0,32.76,29,1825.55,62.95
PROD-00060,Books,43.58,40.57,7.0,87.0,4503.0,Evening,Monday,Autumn,1,2.86,5,367.55,73.51
PROD-00061,Beauty,143.41,147.62,15.0,212.0,4062.0,Morning,Wednesday,Autumn,0,14.51,9,1988.73,220.97
PROD-00062,Books,38.55,37.88,5.0,184.0,54.0,Evening,Wednesday,Autumn,1,20.19,5,274.25,54.85
PROD-00063,Home & Kitchen,149.9,138.41,85.0,25.0,3032.0,Evening,Thursday,Summer,1,8.06,50,14994.5,299.89
PROD-00064,Beauty,97.57,108.77,85.0,228.0,1183.0,Afternoon,Sunday,Winter,1,9.84,52,9579.96,184.23
PROD-00065,Home & Kitchen,180.63,173.8,11.0,130.0,1371.0,Morning,Thursday,Winter,1,7.76,7,1919.26,274.18
PROD-00066,Fashion,244.51,240.55,9.0,63.0,1089.0,Evening,Wednesday,Autumn,1,12.08,7,2699.41,385.63
PROD-00067,Beauty,65.95,64.17,79.0,138.0,2306.0,Night,Monday,Winter,1,31.45,44,5379.88,122.27
PROD-00068,Home & Kitchen,352.15,318.55,54.0,11.0,663.0,Afternoon,Sunday,Spring,1,15.11,42,25137.42,598.51
PROD-00069,Electronics,223.23,238.74,34.0,457.0,2682.0,Afternoon,Wednesday,Autumn,0,14.62,27,8061.12,298.56
PROD-00070,Home & Kitchen,218.03,214.66,63.0,497.0,872.0,Morning,Thursday,Winter,1,13.53,52,14876.16,286.08
PROD-00071,Books,53.13,45.42,27.0,184.0,2527.0,Evening,Monday,Autumn,1,33.74,23,1885.54,81.98
PROD-00072,Fashion,160.35,182.67,23.0,438.0,3148.0,Night,Wednesday,Winter,1,4.11,15,3657.75,243.85
PROD-00073,Home & Kitchen,238.65,261.26,39.0,231.0,939.0,Night,Thursday,Summer,1,30.52,23,9398.72,408.64
PROD-00074,Electronics,1135.94,1212.12,90.0,456.0,558.0,Afternoon,Sunday,Winter,1,11.45,65,112306.35,1727.79
PROD-00075,Books,51.97,57.72,77.0,87.0,4040.0,Morning,Wednesday,Winter,1,33.48,49,5386.08,109.92
PROD-00076,Home & Kitchen,181.44,203.58,23.0,142.0,3705.0,Afternoon,Thursday,Autumn,0,11.03,13,4221.49,324.73
PROD-00077,Fashion,145.25,138.16,58.0,370.0,1344.0,Night,Sunday,Autumn,1,2.9,50,10519.5,210.39
PROD-00078,Fashion,132.66,137.08,89.0,110.0,4440.0,Morning,Wednesday,Autumn,0,18.2,48,13944.0,290.5
PROD-00079,Sports,262.08,270.63,95.0,411.0,1144.0,Morning,Wednesday,Summer,1,7.98,68,29722.12,437.09
PROD-00080,Books,23.38,21.74,77.0,213.0,4636.0,Night,Monday,Autumn,0,26.35,53,2195.79,41.43
PROD-00081,Beauty,44.19,40.5,17.0,202.0,610.0,Evening,Sunday,Winter,1,23.01,11,689.37,62.67
PROD-00082,Home & Kitchen,458.96,405.8,27.0,227.0,3317.0,Morning,Monday,Spring,0,24.03,19,12389.9,652.1
PROD-00083,Electronics,1123.87,1177.59,25.0,399.0,144.0,Morning,Tuesday,Spring,0,6.77,23,30974.56,1346.72
PROD-00084,Books,51.38,55.71,19.0,3.0,1027.0,Afternoon,Monday,Summer,1,24.8,12,1099.68,91.64
PROD-00085,Sports,391.83,422.5,21.0,375.0,2053.0,Evening,Friday,Summer,1,10.9,16,9374.4,585.9
PROD-00086,Books,45.97,43.44,35.0,389.0,472.0,Night,Wednesday,Autumn,0,34.95,34,1922.36,56.54
PROD-00087,Electronics,964.67,879.37,57.0,410.0,2312.0,Night,Friday,Summer,1,25.61,36,50315.4,1397.65
PROD-00088,Fashion,195.4,192.68,42.0,498.0,1198.0,Afternoon,Friday,Autumn,0,20.66,34,8473.48,249.22
PROD-00089,Books,31.43,31.87,44.0,391.0,539.0,Afternoon,Monday,Spring,0,30.35,34,1345.38,39.57
PROD-00090,Books,30.1,33.89,28.0,264.0,4811.0,Night,Wednesday,Summer,1,20.63,16,841.28,52.58
PROD-00091,Home & Kitchen,142.91,158.98,19.0,233.0,4910.0,Night,Monday,Autumn,0,19.35,16,3694.72,230.92
PROD-00092,Books,40.47,45.52,99.0,194.0,4813.0,Morning,Monday,Summer,1,8.31,56,5438.16,97.11
PROD-00093,Beauty,50.5,55.81,61.0,413.0,812.0,Evening,Thursday,Autumn,1,23.73,42,3167.64,75.42
PROD-00094,Home & Kitchen,151.17,172.24,26.0,196.0,1940.0,Evening,Tuesday,Autumn,1,13.11,21,5417.58,257.98
PROD-00095,Beauty,92.03,91.08,81.0,286.0,1670.0,Morning,Monday,Summer,1,1.51,46,7058.24,153.44
PROD-00096,Fashion,114.3,98.78,83.0,48.0,1662.0,Night,Wednesday,Summer,1,28.56,64,13379.84,209.06
PROD-00097,Fashion,70.34,61.55,96.0,159.0,2112.0,Afternoon,Thursday,Winter,1,1.82,72,9074.16,126.03
PROD-00098,Books,49.88,48.24,20.0,133.0,2574.0,Evening,Sunday,Winter,1,23.53,12,998.04,83.17
PROD-00099,Sports,347.71,322.44,65.0,218.0,2451.0,Afternoon,Friday,Spring,0,5.49,49,26914.72,549.28
PROD-00100,Electronics,367.7,331.29,98.0,251.0,1493.0,Evening,Wednesday,Autumn,1,15.14,75,47824.5,637.66
PROD-00101,Books,5.41,6.15,81.0,358.0,4900.0,Night,Thursday,Summer,1,30.07,45,489.15,10.87
PROD-00102,Fashion,97.31,88.42,26.0,216.0,4899.0,Afternoon,Monday,Spring,0,3.3,18,2717.82,150.99
PROD-00103,Books,48.86,55.6,89.0,76.0,1689.0,Afternoon,Wednesday,Autumn,0,23.35,60,5514.0,91.9
PROD-00104,Electronics,1039.17,1120.49,45.0,272.0,1145.0,Night,Friday,Spring,0,21.44,30,43832.1,1461.07
PROD-00105,Books,12.61,13.14,51.0,28.0,2686.0,Night,Monday,Summer,1,30.36,24,655.92,27.33
PROD-00106,Books,47.59,50.1,58.0,424.0,1877.0,Night,Sunday,Autumn,1,6.05,38,2851.9,75.05
PROD-00107,Books,11.36,10.79,78.0,385.0,4936.0,Night,Thursday,Winter,1,27.99,55,1150.05,20.91
PROD-00108,Sports,171.27,178.8,16.0,113.0,2175.0,Evening,Saturday,Summer,1,15.75,11,3100.24,281.84
PROD-00109,Home & Kitchen,499.35,452.41,56.0,132.0,246.0,Night,Tuesday,Winter,1,15.0,41,32258.8,786.8
PROD-00110,Books,15.59,17.64,82.0,14.0,669.0,Night,Saturday,Winter,1,12.66,43,1346.33,31.31
PROD-00111,Fashion,55.41,52.12,57.0,182.0,419.0,Morning,Wednesday,Summer,1,13.5,37,3095.05,83.65
PROD-00112,Books,28.25,26.18,31.0,20.0,1944.0,Evening,Sunday,Spring,1,18.2,23,1102.16,47.92
PROD-00113,Sports,257.38,273.68,10.0,468.0,1616.0,Morning,Thursday,Autumn,0,3.74,7,2206.54,315.22
PROD-00114,Home & Kitchen,468.46,490.45,57.0,67.0,4290.0,Evening,Friday,Spring,1,14.88,33,33545.49,1016.53
PROD-00115,Sports,392.81,387.07,71.0,330.0,4458.0,Afternoon,Tuesday,Winter,1,22.82,46,31694.46,689.01
PROD-00116,Sports,51.12,53.15,57.0,285.0,744.0,Afternoon,Sunday,Summer,1,17.44,45,3572.55,79.39
PROD-00117,Electronics,338.0,303.47,98.0,119.0,4725.0,Night,Tuesday,Winter,1,5.8,51,37702.77,739.27
PROD-00118,Electronics,990.74,1042.25,62.0,404.0,2940.0,Evening,Monday,Autumn,1,12.71,51,80608.05,1580.55
PROD-00119,Fashion,82.25,76.59,53.0,55.0,1568.0,Evening,Thursday,Summer,1,15.5,29,4225.59,145.71
PROD-00120,Electronics,1084.85,1010.92,10.0,443.0,2062.0,Night,Saturday,Winter,1,23.41,10,13606.9,1360.69
PROD-00121,Home & Kitchen,341.82,307.18,58.0,370.0,2234.0,Morning,Sunday,Winter,1,31.53,40,20435.6,510.89
PROD-00122,Books,11.15,10.59,21.0,317.0,894.0,Evening,Saturday,Winter,1,19.26,14,210.84,15.06
PROD-00123,Sports,337.2,320.13,73.0,439.0,4343.0,Morning,Thursday,Spring,0,23.67,56,28078.96,501.41
PROD-00124,Home & Kitchen,112.89,111.34,20.0,202.0,111.0,Morning,Sunday,Summer,1,2.7,14,2200.52,157.18
PROD-00125,Beauty,69.29,62.85,91.0,141.0,395.0,Morning,Thursday,Winter,1,33.41,63,7256.34,115.18
PROD-00126,Sports,232.07,210.7,33.0,78.0,1403.0,Evening,Thursday,Winter,1,11.03,27,9679.77,358.51
PROD-00127,Electronics,700.77,709.54,46.0,462.0,760.0,Evening,Tuesday,Summer,1,12.4,41,37873.75,923.75
PROD-00128,Books,42.74,37.98,18.0,201.0,356.0,Night,Saturday,Spring,1,7.8,15,890.4,59.36
PROD-00129,Sports,269.76,285.04,25.0,414.0,1947.0,Afternoon,Wednesday,Summer,1,2.96,24,8690.16,362.09
PROD-00130,Sports,397.02,449.89,92.0,166.0,1915.0,Night,Tuesday,Autumn,0,27.65,57,43115.37,756.41
PROD-00131,Sports,399.78,391.0,31.0,477.0,671.0,Afternoon,Wednesday,Autumn,0,8.42,22,10242.98,465.59
PROD-00132,Sports,218.67,244.99,53.0,435.0,4060.0,Morning,Friday,Winter,1,9.89,43,14921.43,347.01
PROD-00133,Electronics,295.2,259.63,98.0,154.0,4418.0,Morning,Tuesday,Spring,0,6.36,55,30527.2,555.04
PROD-00134,Sports,297.94,257.09,64.0,243.0,3612.0,Morning,Wednesday,Summer,1,34.12,37,19743.94,533.62
PROD-00135,Books,58.72,62.62,8.0,397.0,2634.0,Afternoon,Wednesday,Summer,1,27.34,5,417.75,83.55
PROD-00136,Fashion,93.22,100.51,38.0,113.0,4739.0,Afternoon,Friday,Winter,1,32.55,22,3920.18,178.19
PROD-00137,Sports,197.95,218.33,41.0,12.0,1784.0,Night,Friday,Spring,0,30.16,25,9024.25,360.97
PROD-00138,Electronics,624.78,541.71,31.0,145.0,2163.0,Morning,Friday,Spring,0,31.72,22,19507.62,886.71
PROD-00139,Home & Kitchen,54.17,58.67,27.0,295.0,124.0,Afternoon,Monday,Summer,1,16.77,21,1653.54,78.74
PROD-00140,Home & Kitchen,345.96,333.15,52.0,69.0,3553.0,Night,Wednesday,Spring,0,5.97,38,23133.64,608.78
PROD-00141,Beauty,59.47,55.96,40.0,167.0,507.0,Morning,Friday,Autumn,0,11.44,37,3100.6,83.8
PROD-00142,Fashion,201.12,181.39,32.0,459.0,3343.0,Afternoon,Tuesday,Autumn,0,10.24,22,5469.2,248.6
PROD-00143,Fashion,211.39,242.84,44.0,38.0,3923.0,Morning,Monday,Autumn,0,25.1,23,9688.06,421.22
PROD-00144,Home & Kitchen,415.98,361.53,37.0,26.0,1124.0,Evening,Wednesday,Winter,1,0.9,28,18702.04,667.93
PROD-00145,Beauty,68.33,75.04,26.0,212.0,3079.0,Night,Friday,Summer,1,4.97,15,1765.5,117.7
PROD-00146,Beauty,55.02,57.32,48.0,7.0,1552.0,Morning,Friday,Summer,1,23.9,30,3018.0,100.6
PROD-00147,Electronics,948.82,1015.74,94.0,14.0,2021.0,Afternoon,Monday,Summer,1,4.32,53,111844.84,2110.28
PROD-00148,Fashion,204.32,217.3,53.0,92.0,2672.0,Afternoon,Friday,Winter,1,1.69,36,14358.6,398.85
PROD-00149,Books,32.02,35.46,61.0,52.0,1284.0,Night,Tuesday,Autumn,0,3.82,37,2031.3,54.9
PROD-00150,Electronics,1093.03,989.34,98.0,405.0,3993.0,Night,Saturday,Spring,1,24.17,70,135394.0,1934.2
PROD-00151,Beauty,30.15,25.63,63.0,62.0,2003.0,Morning,Thursday,Autumn,0,4.88,47,2303.0,49.0
PROD-00152,Fashion,222.19,228.75,26.0,262.0,2335.0,Afternoon,Monday,Autumn,0,5.12,23,7467.64,324.68
PROD-00153,Beauty,23.45,22.43,42.0,352.0,4082.0,Night,Wednesday,Spring,0,8.06,29,1031.82,35.58
PROD-00154,Fashion,55.31,49.07,51.0,313.0,1177.0,Morning,Saturday,Autumn,1,26.28,43,3435.27,79.89
PROD-00155,Home & Kitchen,280.9,254.46,50.0,327.0,2288.0,Night,Thursday,Autumn,0,7.01,42,16975.56,404.18
PROD-00156,Sports,50.32,47.78,19.0,179.0,4967.0,Morning,Friday,Spring,0,1.24,12,967.56,80.63
PROD-00157,Electronics,252.81,220.21,15.0,444.0,2028.0,Evening,Saturday,Spring,1,31.71,13,4116.97,316.69
PROD-00158,Sports,25.19,21.85,38.0,35.0,622.0,Night,Monday,Autumn,0,30.67,31,1153.2,37.2
PROD-00159,Sports,188.62,212.16,91.0,54.0,1457.0,Evening,Sunday,Autumn,1,6.47,46,18728.44,407.14
PROD-00160,Books,47.6,44.92,73.0,428.0,4781.0,Night,Wednesday,Autumn,0,9.29,52,3889.08,74.79
PROD-00161,Beauty,14.88,17.03,84.0,35.0,3807.0,Evening,Saturday,Summer,1,6.6,38,1388.52,36.54
PROD-00162,Sports,269.6,307.15,21.0,96.0,4054.0,Morning,Thursday,Autumn,0,25.18,15,7475.85,498.39
PROD-00163,Home & Kitchen,416.87,372.17,44.0,87.0,1305.0,Evening,Friday,Winter,1,8.75,25,16861.75,674.47
PROD-00164,Home & Kitchen,108.96,115.99,60.0,17.0,4202.0,Evening,Wednesday,Spring,1,32.6,33,7783.05,235.85
PROD-00165,Home & Kitchen,99.03,102.02,46.0,59.0,1997.0,Afternoon,Saturday,Autumn,1,28.97,26,4772.3,183.55
PROD-00166,Books,52.34,55.34,44.0,286.0,3984.0,Morning,Monday,Spring,0,20.59,34,2844.1,83.65
PROD-00167,Fashion,209.32,183.96,39.0,330.0,4410.0,Evening,Sunday,Spring,1,0.31,31,9874.12,318.52
PROD-00168,Fashion,143.96,130.51,9.0,42.0,1080.0,Evening,Tuesday,Winter,1,30.93,7,1436.54,205.22
PROD-00169,Home & Kitchen,415.02,362.31,86.0,471.0,4695.0,Night,Sunday,Spring,1,25.47,65,41349.1,636.14
PROD-00170,Electronics,292.76,301.9,93.0,48.0,3181.0,Morning,Monday,Autumn,0,27.58,47,29887.3,635.9
PROD-00171,Electronics,594.48,681.26,12.0,343.0,3667.0,Evening,Monday,Autumn,1,2.51,8,7455.28,931.91
PROD-00172,Electronics,937.8,986.18,44.0,400.0,3795.0,Night,Monday,Winter,1,24.8,33,52717.17,1597.49
PROD-00173,Books,19.16,20.37,54.0,260.0,883.0,Night,Thursday,Autumn,0,28.16,34,983.62,28.93
PROD-00174,Books,46.38,53.12,79.0,246.0,3741.0,Night,Tuesday,Autumn,0,33.48,55,4826.8,87.76
PROD-00175,Books,32.73,34.48,98.0,55.0,1104.0,Morning,Friday,Winter,1,20.32,64,4106.88,64.17
PROD-00176,Home & Kitchen,382.63,329.84,44.0,121.0,1394.0,Morning,Saturday,Winter,1,17.78,37,22466.77,607.21
PROD-00177,Books,30.56,33.92,76.0,425.0,626.0,Evening,Monday,Autumn,1,14.89,49,2420.11,49.39
PROD-00178,Electronics,567.9,544.85,94.0,174.0,946.0,Afternoon,Thursday,Spring,0,24.55,64,63094.4,985.85
PROD-00179,Beauty,40.69,34.64,83.0,18.0,4895.0,Morning,Saturday,Spring,1,32.23,37,3268.58,88.34
PROD-00180,Sports,103.14,103.37,32.0,364.0,1674.0,Morning,Wednesday,Summer,1,20.99,29,4112.2,141.8
PROD-00181,Beauty,115.21,130.31,82.0,342.0,1965.0,Morning,Sunday,Autumn,1,7.95,60,11909.4,198.49
PROD-00182,Electronics,318.91,295.69,44.0,34.0,2425.0,Afternoon,Friday,Autumn,0,0.62,33,17218.08,521.76
PROD-00183,Home & Kitchen,70.41,70.23,6.0,26.0,3579.0,Evening,Monday,Winter,1,21.67,4,522.16,130.54
PROD-00184,Books,14.7,13.26,77.0,59.0,2890.0,Morning,Thursday,Spring,0,30.26,44,1229.36,27.94
PROD-00185,Home & Kitchen,112.41,97.5,84.0,26.0,2703.0,Morning,Wednesday,Spring,0,2.31,57,11795.01,206.93
PROD-00186,Home & Kitchen,416.86,364.4,37.0,308.0,4192.0,Afternoon,Monday,Spring,0,13.91,32,19202.56,600.08
PROD-00187,Electronics,598.51,639.27,47.0,67.0,2504.0,Night,Sunday,Autumn,1,32.9,23,27808.38,1209.06
PROD-00188,Home & Kitchen,495.48,549.6,39.0,303.0,3856.0,Night,Tuesday,Autumn,0,17.56,34,26597.52,782.28
PROD-00189,Fashion,51.56,46.04,16.0,88.0,4558.0,Afternoon,Monday,Spring,0,7.72,13,1087.19,83.63
PROD-00190,Fashion,170.31,159.5,99.0,486.0,3396.0,Morning,Tuesday,Winter,1,12.38,84,23271.36,277.04
PROD-00191,Books,29.68,26.96,7.0,363.0,224.0,Morning,Saturday,Summer,1,14.28,7,238.91,34.13
PROD-00192,Sports,172.34,147.88,57.0,187.0,1354.0,Night,Friday,Autumn,0,4.11,40,9821.6,245.54
PROD-00193,Sports,353.16,358.82,6.0,214.0,3107.0,Afternoon,Saturday,Winter,1,23.13,5,2718.75,543.75
PROD-00194,Home & Kitchen,488.53,517.83,70.0,33.0,2420.0,Morning,Thursday,Spring,0,20.73,36,35184.6,977.35
PROD-00195,Beauty,132.2,138.07,90.0,28.0,1459.0,Night,Monday,Winter,1,22.67,54,15643.8,289.7
PROD-00196,Electronics,392.3,379.13,66.0,269.0,1710.0,Evening,Wednesday,Winter,1,21.38,40,25761.6,644.04
PROD-00197,Home & Kitchen,133.78,135.98,62.0,12.0,437.0,Afternoon,Tuesday,Winter,1,0.58,46,11200.08,243.48
PROD-00198,Electronics,856.07,751.83,83.0,319.0,1212.0,Afternoon,Thursday,Spring,0,6.11,58,69441.08,1197.26
PROD-00199,Home & Kitchen,165.87,148.67,97.0,191.0,3924.0,Morning,Tuesday,Summer,1,5.8,51,16685.16,327.16
PROD-00200,Beauty,112.86,127.48,86.0,70.0,100.0,Night,Sunday,Spring,1,3.43,44,9543.16,216.89
PROD-00201,Home & Kitchen,296.22,319.46,26.0,268.0,4192.0,Night,Wednesday,Summer,1,25.74,19,9737.12,512.48
PROD-00202,Beauty,87.13,98.18,58.0,276.0,1730.0,Morning,Wednesday,Winter,1,4.2,34,5180.92,152.38
PROD-00203,Home & Kitchen,419.42,471.85,82.0,373.0,4049.0,Evening,Sunday,Winter,1,23.39,46,36095.74,784.69
PROD-00204,Books,44.08,46.05,32.0,99.0,1317.0,Morning,Thursday,Winter,1,6.24,19,1418.73,74.67
PROD-00205,Home & Kitchen,42.49,47.95,69.0,274.0,4152.0,Afternoon,Tuesday,Summer,1,4.14,39,3260.01,83.59
PROD-00206,Fashion,31.38,30.59,7.0,422.0,2880.0,Evening,Thursday,Winter,1,5.69,7,287.91,41.13
PROD-00207,Books,38.09,32.41,88.0,135.0,4264.0,Morning,Tuesday,Winter,1,17.79,54,4019.22,74.43
PROD-00208,Beauty,78.07,67.82,63.0,417.0,358.0,Evening,Saturday,Winter,1,22.59,46,4784.0,104.0
PROD-00209,Fashion,79.84,70.49,75.0,361.0,3997.0,Morning,Friday,Winter,1,28.42,47,5900.38,125.54
PROD-00210,Books,28.03,24.62,83.0,215.0,1389.0,Evening,Saturday,Autumn,1,4.5,45,2197.8,48.84
PROD-00211,Fashion,194.32,185.67,25.0,441.0,1826.0,Afternoon,Sunday,Spring,1,21.57,19,4809.09,253.11
PROD-00212,Books,50.46,53.51,47.0,483.0,271.0,Morning,Saturday,Summer,1,27.08,32,2144.64,67.02
PROD-00213,Books,35.87,38.99,86.0,119.0,4772.0,Night,Wednesday,Winter,1,10.93,35,2939.3,83.98
PROD-00214,Home & Kitchen,211.12,216.84,20.0,489.0,3225.0,Afternoon,Tuesday,Summer,1,2.79,13,3651.31,280.87
PROD-00215,Books,19.89,17.78,83.0,2.0,4905.0,Night,Thursday,Spring,0,5.46,46,1832.64,39.84
PROD-00216,Fashion,140.04,150.46,32.0,65.0,2862.0,Night,Thursday,Winter,1,3.2,23,5904.56,256.72
PROD-00217,Electronics,514.75,492.33,59.0,22.0,833.0,Morning,Wednesday,Summer,1,31.05,33,30190.71,914.87
PROD-00218,Electronics,764.1,652.46,53.0,184.0,1720.0,Evening,Saturday,Winter,1,13.18,41,50491.91,1231.51
